index,disease_name,description,Possible Steps,image_url
0,ஆப்பிள் : ஸ்கேப், "ஆப்பிள் ஸ்கேப் என்பது மினசோட்டாவில் உள்ள ஆப்பிள் மற்றும் நண்டு மரங்களில் மிகவும் பொதுவான நோயாகும். ஸ்கேப் ஒரு பூஞ்சையால் ஏற்படுகிறது, இது இலைகள் மற்றும் பழங்கள் இரண்டையும் பாதிக்கிறது. ஸ்கேபி பழங்கள் பெரும்பாலும் சாப்பிடத் தகுதியற்றவை. பாதிக்கப்பட்ட இலைகளில் ஆலிவ் பச்சை முதல் பழுப்பு நிற புள்ளிகள் இருக்கும். பல இலைப்புள்ளிகள் கொண்ட இலைகள் மஞ்சள் நிறமாகி, ஆரம்பத்தில் உதிர்ந்துவிடும். பல வருடங்கள் தொடர்ச்சியாக ஏற்படும் போது இலை இழப்பு மரத்தை வலுவிழக்கச் செய்கிறது. நோய் எதிர்ப்புத் திறன் கொண்ட இரகங்களை நடவு செய்வது சிரங்குகளைக் கட்டுப்படுத்த சிறந்த வழியாகும்.","முடிந்தால் எதிர்ப்புத் திறன் கொண்ட இரகங்களைத் தேர்ந்தெடுக்கவும். அடுத்த வசந்த காலத்தில் நோய் சுழற்சியை மீண்டும் தொடங்குவதற்கு கிடைக்கக்கூடிய பூஞ்சை வித்திகளின் எண்ணிக்கையை குறைக்க மரங்களின் கீழ் ரேக் செய்து பாதிக்கப்பட்ட இலைகளை அழிக்கவும். நோய்த்தொற்று ஏற்படுவதற்கு முன்பு இலைகள் காய்வதற்கு நேரம் கொடுக்க மாலை அல்லது அதிகாலை நேரங்களில் (மேல்நிலை நீர்ப்பாசனத்தைத் தவிர்க்கவும்) நீர் பாய்ச்சவும்.3-லிருந்து 6-அங்குல உரத்தை மரங்களின் கீழ் பரப்பி, அதை தண்டிலிருந்து விலக்கி, மண்ணை மூடி, பூஞ்சை வித்திகள் சிதறாமல் தடுக்கவும். சிறந்த கட்டுப்பாட்டிற்கு, அறிகுறிகள் பொதுவாக தோன்றும் இரண்டு வாரங்களுக்கு முன்னதாக, திரவ செப்பு சோப்பை தெளிக்கவும். மாற்றாக, நோய் முதலில் தோன்றும்போது பயன்பாடுகளைத் தொடங்கவும், மேலும் 7 முதல் 10 நாள் இடைவெளியில் மலரும் வரை மீண்டும் செய்யவும்.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,ஆப்பிள் : கருப்பு அழுகல், "இலைகள் விரியும் போது இலை அறிகுறிகள் முதலில் வசந்த காலத்தில் தோன்றும். அவை இலைகளின் மேல் மேற்பரப்பில் சிறிய, ஊதா நிற புள்ளிகளாகத் தோன்றும், அவை 1/8 முதல் 1/4 அங்குலம் (3-6 மிமீ) விட்டம் கொண்ட வட்டவடிவப் புண்களாக பெரிதாகின்றன. புண்களின் விளிம்பு ஊதா நிறமாக இருக்கும், அதே நேரத்தில் மையம் பழுப்பு நிறமாக மாறும். சில வாரங்களில், இந்த இலைப் புள்ளிகளின் இரண்டாம் நிலை விரிவாக்கம் ஏற்படுகிறது. பெரிதும் பாதிக்கப்பட்ட இலைகள் குளோரோடிக் ஆக மாறி இலை உதிர்தல் ஏற்படுகிறது. அழுகிய பகுதி பெரிதாகும்போது, ​​ஒரே மாதிரியான அகலத்தின் செறிவான பட்டைகள் வரிசையாக உருவாகின்றன, அவை கருப்பு நிறத்தில் இருந்து பழுப்பு நிறத்தில் மாறி மாறி நிறத்தில் இருக்கும். அழுகிய பகுதியின் சதை உறுதியாகவும் தோலாகவும் இருக்கும். பாதிக்கப்பட்ட பழத்தின் மேற்பரப்பில் கறுப்பு பைக்னிடியா அடிக்கடி காணப்படும்.","குறைந்தபட்சம் 15 அங்குலத்திற்கு கீழே கத்தரித்து புற்றுகளை அகற்றி எரிக்கவும் அல்லது புதைக்கவும். புதிய சீசன் கத்தரித்தல் மூலம் தடுப்புக் கவனிப்பு எடுத்து அவற்றை எரிக்கவும். நீங்கள் செயலற்ற பருவத்தில் கத்தரித்து விடுவது நல்லது. இது தீக்காய்ச்சல் உங்கள் மரத்தைத் தாக்கும் மற்றும் இறந்த திசுக்களை எளிதாகப் போட்ரியோஸ்பேரியாவால் பாதிக்கக்கூடிய சாத்தியக்கூறுகளைக் குறைக்கும். ஆலங்கட்டி மழையால் பட்டை சேதமடைந்தாலோ அல்லது காற்றின் போது கிளைகள் முறிந்தாலோ நீங்கள் முன்னெச்சரிக்கை நடவடிக்கைகளை எடுக்க வேண்டும். தாமிரத்தை அடிப்படையாகக் கொண்ட பூஞ்சைக் கொல்லியைப் பயன்படுத்துவது கருப்பு அழுகல் மற்றும் தீ ப்ளைட் ஆகிய இரண்டிலிருந்தும் பாதுகாக்கும்.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,ஆப்பிள் : சிடார் துரு,"சிடார் ஆப்பிள் துரு (ஜிம்னோஸ்போரங்கியம் ஜூனிபெரி-விர்ஜினியானே) என்பது ஒரு பூஞ்சை நோயாகும், இது ஜூனிபர் தாவரங்கள் அதன் சிக்கலான இரண்டு வருட வாழ்க்கை சுழற்சியை முடிக்க வேண்டும். வித்திகள் பல்வேறு ஜூனிபர் இனங்களின் இளம் கிளைகளில் சிவப்பு-பழுப்பு நிற பித்தப்பை போல் குளிர்காலத்தில் இருக்கும். வசந்த காலத்தின் துவக்கத்தில், ஈரமான காலநிலையில், இந்த பித்தப்பைகள் வீங்கி, பிரகாசமான ஆரஞ்சு நிறத்தில் இருக்கும் வித்திகள் காற்றினால் வீசப்படுகின்றன, அங்கு அவை பாதிக்கப்படக்கூடிய ஆப்பிள் மற்றும் நண்டு-ஆப்பிள் மரங்களில் உருவாகும் வித்திகள் அடுத்த ஆண்டு ஜூனிப்பர்களை மட்டுமே பாதிக்கும் ஆப்பிள் மரங்களுக்கு இடையில் பரவ முடியாது.","கிடைக்கும் போது எதிர்ப்புத் திறன் கொண்ட பயிர்களைத் தேர்ந்தெடுக்கவும். மரத்தின் அடியில் இருந்து உதிர்ந்த இலைகள் மற்றும் பிற குப்பைகளை எடுத்து அப்புறப்படுத்தவும். பாதிக்கப்பட்ட ஜூனிபர்களில் இருந்து பித்தப்பைகளை அகற்றவும். சில சந்தர்ப்பங்களில், ஜூனிபர் செடிகளை முழுவதுமாக அகற்ற வேண்டும். ஜூனிபர் புரவலன் வெளியிடும் வித்திகளிலிருந்து மரங்களைப் பாதுகாக்க, மொட்டு முறிவில் தொடங்கி, வாரந்தோறும் ஆப்பிள்களில் பயன்படுத்துவதற்காக, தடுப்பு, நோயை எதிர்க்கும் பூஞ்சைக் கொல்லிகளைப் பயன்படுத்துங்கள். இது வருடத்திற்கு ஒரு முறை மட்டுமே நிகழ்கிறது, எனவே இந்த வசந்த கால பரவலுக்குப் பிறகு கூடுதல் பயன்பாடுகள் தேவையில்லை. ஜூனிபரில், ஆகஸ்ட் பிற்பகுதியிலிருந்து அக்டோபர் இறுதி வரை குறைந்தது நான்கு முறையாவது செப்புக் கரைசலுடன் (0.5 முதல் 2.0 அவுன்ஸ்/ கேலன் தண்ணீர்) செடிகளைத் தெளிப்பதன் மூலம் துருவைக் கட்டுப்படுத்தலாம். SERENADE கார்டன் மூலம் பெரும்பாலான பூஞ்சை மற்றும் பாக்டீரியா நோய்களுக்கு பாதுகாப்பாக சிகிச்சை அளிக்கவும். இந்த பரந்த நிறமாலை உயிர் பூஞ்சைக் கொல்லியானது, கரிம பயன்பாட்டிற்காக பதிவுசெய்யப்பட்ட பேசிலஸ் சப்டிலிஸின் காப்புரிமை பெற்ற விகாரத்தைப் பயன்படுத்துகிறது. எல்லாவற்றிற்கும் மேலாக, SERENADE தேனீக்கள் மற்றும் நன்மை பயக்கும் பூச்சிகளுக்கு முற்றிலும் நச்சுத்தன்மையற்றது.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,ஆப்பிள் : ஆரோக்கியமானது, "பெரும்பாலான பழங்களைப் போலவே, முழு வெயிலில் வளரும் போது ஆப்பிள்கள் சிறப்பாக விளைகின்றன, அதாவது தினசரி ஆறு அல்லது அதற்கு மேற்பட்ட மணிநேர நேரடி கோடை சூரியன். ஆப்பிள்களுக்கான சிறந்த வெளிப்பாடு வீட்டின் வடக்குப் பகுதி, மரக் கோடு அல்லது உயரம் ஆகும். தெற்கே விட. ஆப்பிள் மரங்களுக்கு நன்கு வடிகட்டிய மண் தேவை, ஆனால் சிறிது ஈரப்பதத்தை தக்க வைத்துக் கொள்ள வேண்டும்.","ஆப்பிள்கள் சத்தானவை.""  ஆப்பிள்கள் எடை இழப்புக்கு நல்லது. ஆப்பிள்கள் உங்கள் இதயத்திற்கு நல்லது. அவை நீரிழிவு நோயின் குறைந்த அபாயத்துடன் இணைக்கப்பட்டுள்ளன. அவை ப்ரீபயாடிக் விளைவுகளைக் கொண்டிருக்கலாம் மற்றும் நல்ல குடல் பாக்டீரியாவை ஊக்குவிக்கும். ஆப்பிளில் உள்ள பொருட்கள் புற்றுநோயைத் தடுக்க உதவும்.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,இலைகள் இல்லாத பின்னணி, கொடுக்கப்பட்டுள்ள படத்தில் இலை இல்லை, இலையுடன் படத்தை மீண்டும் பதிவேற்றவும்,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,புளுபெர்ரி : ஆரோக்கியமானது,"புளுபெர்ரிகளில் கலோரிகள் குறைவு ஆனால் ஊட்டச்சத்துக்கள் அதிகம். ஆக்ஸிஜனேற்ற எதிர்ப்பு உணவுகளின் ராஜா ப்ளூபெர்ரி. ப்ளூபெர்ரி டிஎன்ஏ சேதத்தைக் குறைக்கிறது, இது வயதான மற்றும் புற்றுநோயிலிருந்து பாதுகாக்க உதவும். ப்ளூபெர்ரிகள் உங்கள் இரத்தத்தில் உள்ள கொழுப்பை சேதப்படுத்தாமல் பாதுகாக்கின்றன. ப்ளூபெர்ரிகள் இரத்த அழுத்தத்தைக் குறைக்கலாம்.","பீட் பாசி, பைன் ஊசிகள் அல்லது நன்கு வயதான மரத்தூள் போன்ற ஆழமான, குறைந்த pH தழைக்கூளம் தண்ணீரைப் பாதுகாக்கிறது மற்றும் மண்ணின் நீர் ஏற்ற இறக்கங்களைக் குறைக்கிறது. பகலில் ப்ளூபெர்ரி செடிகளுக்கு தண்ணீர் கொடுங்கள். மண்ணை ஈரப்பதமாக வைத்திருங்கள், ஆனால் ஈரமாக இருக்கக்கூடாது. வளரும் பருவத்தில் வாரத்திற்கு குறைந்தது 1"" மற்றும் பழம் பழுக்க வைக்கும் போது வாரத்திற்கு 4"" வரை கொடுங்கள். ப்ளூபெர்ரி ஒரு ஆழமற்ற வேர்களைக் கொண்ட தாவரமாகும். எனவே, இதற்கு ஈரப்பதத்தைத் தக்கவைத்துக்கொள்ளும் மண் தேவைப்படுகிறது, ஆனால் நன்றாக வடிகட்டுகிறது மற்றும் ஈரமாக இருக்காது. ",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : தூள் பூஞ்சை காளான்,"ஆரம்ப அறிகுறிகள், முதல் நீர்ப்பாசனம் தொடங்கிய 7 முதல் 10 நாட்களுக்குப் பிறகு பெரும்பாலும் ஏற்படும், இளம், எளிதில் பாதிக்கப்படக்கூடிய இலைகளில் (புதிதாக விரிவடையும் மற்றும் வெளிர் பச்சை நிற விரிவடையும் இலைகள்) லேசான தோராயமான வட்ட வடிவ, தூள் போன்ற திட்டுகளாகும். பழைய இலைகள் தூள் பூஞ்சை காளான் நோய்க்கு வயது தொடர்பான (ஆன்டோஜெனிக்) எதிர்ப்பை உருவாக்குகின்றன மற்றும் இயற்கையாகவே இளம் இலைகளை விட தொற்றுக்கு அதிக எதிர்ப்புத் திறன் கொண்டவை. வேர் உறிஞ்சிகள், விதானத்தின் உட்புறம் அல்லது ஈரப்பதம் அதிகமாக இருக்கும் மரத்தின் கவட்டை ஆகியவற்றில் ஆரம்பகால இலை தொற்றுகளைத் தேடுங்கள். மற்ற பூஞ்சைகளைப் போலல்லாமல், தூள் பூஞ்சை காளான்கள் முளைக்க இலவச நீர் தேவையில்லை, ஆனால் முளைப்பு மற்றும் பூஞ்சை வளர்ச்சி அதிக ஈரப்பதத்தால் சாதகமாக இருக்கும். இந்த நோய் இலைகளின் அடிப்பகுதியில் (அபாக்சியல்) தொடங்க வாய்ப்புள்ளது, ஆனால் பிந்தைய நிலைகளில் இருபுறமும் ஏற்படும். பருவம் முன்னேறி, காற்று மூலம் தொற்று பரவும்போது, ​​இலைகள் சிதைந்து, மேல்நோக்கி சுருண்டுவிடும். கடுமையான தொற்றுகள் இலைகளை சுருட்டி சுருட்டிக்கொள்ளச் செய்யலாம். புதிய தளிர்களில் புதிதாக வளர்ந்த இலைகள் படிப்படியாக சிறியதாகி, பெரும்பாலும் வெளிர் நிறமாகி, சிதைந்து போகக்கூடும்.","வெட்டும் விளிம்புகளை கிருமி நீக்கம் செய்து, பின்னர் தாவரத்தின் நோயுற்ற பகுதிகளை உடனடியாக வெட்டி எறியுங்கள். அதே நேரத்தில், பழ மரத்தில் மீதமுள்ள இலைகளைப் பாதுகாக்க பூஞ்சைக் கொல்லிகளைப் பயன்படுத்துங்கள். பருவம் முழுவதும் மரங்களைப் பாதுகாக்க லேபிள் வழிமுறைகளின்படி பூஞ்சைக் கொல்லிகளைப் பயன்படுத்த வேண்டும்.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry: Healthy,"புளிப்பு மற்றும் இனிப்பு செர்ரிகளுக்கு இடையில் பராமரிப்பில் எந்த வித்தியாசமும் இல்லை. ஈரப்பதத்தைத் தக்கவைக்க தழைக்கூளம் பயன்படுத்துங்கள். பறவைகளிடமிருந்து பழங்களைப் பாதுகாக்க மரங்களின் மீது வலையை மூடவும். வறண்ட பகுதிகளில் வழக்கமாக தண்ணீர் ஊற்றவும். செர்ரி மரங்களுக்கு பழங்களை மெலிதாக்குவது அவசியமில்லை, ஏனெனில் அவை பொதுவாக கோடையின் தொடக்கத்தில் இயற்கையாகவே மெலிதாகிவிடும்.","ஊட்டச்சத்துக்களால் நிரம்பியுள்ளது.ஆக்ஸிஜனேற்றிகள் மற்றும் அழற்சி எதிர்ப்பு சேர்மங்கள் நிறைந்தவை. உடற்பயிற்சி மீட்சியை அதிகரிக்கும். இதய ஆரோக்கியத்திற்கு நன்மை பயக்கும்.மூட்டுவலி மற்றும் கீல்வாதத்தின் அறிகுறிகளை மேம்படுத்தலாம். தூக்கத்தின் தரத்தை மேம்படுத்தலாம்.உங்கள் உணவில் சேர்ப்பது எளிது.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,சோளம்: செர்கோஸ்போரா இலைப்புள்ளி | சாம்பல் இலைப்புள்ளி,"சோளத்தில் சாம்பல் இலைப்புள்ளி, செர்கோஸ்போரா ஜீ-மேடிஸ் என்ற பூஞ்சையால் ஏற்படுகிறது, இது அமெரிக்காவில் ஒரு பொதுவான மற்றும் பொருளாதார ரீதியாக சேதப்படுத்தும் நோயாகும். 1990 களின் நடுப்பகுதியில் இருந்து, இந்த நோய் இந்தியானாவில் முக்கியத்துவம் பெற்றுள்ளது, மேலும் தற்போது மாநிலத்தில் சோளத்தின் மிக முக்கியமான இலைவழி நோய்களில் ஒன்றாகும். சாம்பல் இலைப்புள்ளி நோய் பைரிகுலேரியா க்ரிசியா என்ற பூஞ்சையால் ஏற்படுகிறது, இது மாக்னபோர்தே க்ரிசியா என்றும் அழைக்கப்படுகிறது. புளோரிடாவில் அடிக்கடி காணப்படும் சூடான மழைக்காலங்கள் இந்த பூஞ்சை நோய்க்கு சாதகமான நிலைமைகளை உருவாக்குகின்றன. இந்த பூஞ்சை வளர்ச்சியை மெதுவாக்குகிறது, நிறுவப்பட்ட நிலங்களை மெல்லியதாக்குகிறது மற்றும் செயிண்ட்","ஆழமாக, ஆனால் அரிதாக நீர்ப்பாசனம் செய்யுங்கள். நோய் தீவிரமாக இருக்கும்போது புல்வெளியில் களைக்கொல்லிகளைப் பயன்படுத்துவதைத் தவிர்க்கவும். நடுத்தர முதல் அதிக நைட்ரஜன் உர அளவைத் தவிர்க்கவும். புல்வெளியில் காற்று சுழற்சி மற்றும் ஒளி அளவை மேம்படுத்தவும். சரியான உயரத்தில் வெட்டவும், புல் காய்ந்தவுடன் மட்டும் வெட்டவும்.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9, சோளம்: பொதுவான துரு,"வளரும் பருவம் முழுவதும் சோள வயல்களில் ஒரு சில துரு கொப்புளங்கள் எப்போதும் காணப்பட்டாலும், அறிகுறிகள் பொதுவாக குஞ்சம் பூசப்பட்ட பின்னரே தோன்றும். சோள இலைகளின் மேல் மற்றும் கீழ் மேற்பரப்புகளில் சிதறிக்கிடக்கும் அடர், சிவப்பு-பழுப்பு நிற கொப்புளங்கள் (யுரேடினியா) வளர்ச்சியால் இவற்றை எளிதாக அடையாளம் கண்டு மற்ற நோய்களிலிருந்து வேறுபடுத்தி அறியலாம். இந்த கொப்புளங்கள் தாவரத்தின் எந்த தரைப் பகுதியிலும் தோன்றலாம், ஆனால் இலைகளில் அதிகமாக இருக்கும். கொப்புளங்கள் ஓவல் முதல் நீளமான வடிவத்தில் தோன்றும், பொதுவாக சிறியதாக இருக்கும், 1/4 அங்குலத்திற்கும் குறைவான நீளமாக இருக்கும், மேலும் இலை மேல்தோல் அடுக்கால் சூழப்பட்டுள்ளன, அங்கு அது உடைந்துவிட்டது.","சோள துரு ஏற்படுவதைக் குறைக்க பூஞ்சைக்கு எதிர்ப்புத் திறன் கொண்ட சோளத்தை மட்டுமே நடவும். எதிர்ப்பு இனம் சார்ந்த எதிர்ப்பு அல்லது பகுதி துரு எதிர்ப்பு வடிவத்தில் இருக்கும். இரண்டிலும்எந்த இனிப்பு சோளமும் முழுமையாக எதிர்க்காது. சோளம் நோய்த்தொற்றின் அறிகுறிகளைக் காட்டத் தொடங்கினால்உடனடியாக ஒரு " பூஞ்சைக் கொல்லி.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
10,சோளம்: வடக்கு இலை கருகல்,"வடக்கு சோள இலை கருகல் நோய் (NCLB) செட்டோஸ்பேரியா டர்சிகா என்ற பூஞ்சையால் ஏற்படுகிறது. அறிகுறிகள் பொதுவாக முதலில் கீழ் இலைகளில் தோன்றும். இலை புண்கள் நீளமாக (1 முதல் 6 அங்குலம்) இருக்கும் மற்றும் நீள்வட்ட வடிவத்திலும் முதலில் சாம்பல்-பச்சை நிறத்திலும் இருக்கும் ஆனால் பின்னர் வெளிர் சாம்பல் அல்லது பழுப்பு நிறமாக மாறும். ஈரப்பதமான சூழ்நிலையில் அடர் சாம்பல் நிற வித்திகள் உற்பத்தி செய்யப்படுகின்றன பொதுவாக கீழ் இலை மேற்பரப்பில் இது புண்களுக்கு அழுக்கு சாம்பல் தோற்றத்தை அளிக்கிறது. கடுமையாக கருகல் ஏற்பட்ட தாவரங்களில் முழு இலைகளும் இறக்கக்கூடும் எனவே தனிப்பட்ட புண்கள் தெரியவில்லை. காதுகளின் வெளிப்புற உமியில் புண்கள் ஏற்படலாம் ஆனால் தானியங்கள் பாதிக்கப்படுவதில்லை. பூஞ்சைக்கு எதிர்ப்புத் தெரிவிக்கும் Ht மரபணுவைக் கொண்ட கலப்பினங்களில் புண்கள் சிறியதாகவும் குளோரோடிக் ஆகவும்நேரியல் கோடுகளாகவும் உருவாகலாம். "இந்தப் புண்கள் அரிதாகவே வித்துகளை உருவாக்குகின்றன.","பூஞ்சைக் கொல்லி பயன்பாடுகள் வடக்கு சோள இலை கருகல் சேதத்தையும் பாதுகாக்கப்பட்ட மகசூலையும் குறைத்தன. எளிதில் பாதிக்கப்படக்கூடிய சோள கலப்பினங்களில் விளைச்சலைக் குறைப்பதில் பூஞ்சைக் கொல்லியின் மதிப்பு அதிகமாக இருந்தது. நோய் தொடங்கும் போது பூஞ்சைக் கொல்லி பயன்படுத்தப்பட்டால் அவை மிகவும் பயனுள்ளதாக இருக்கும். நோய் வளர்ச்சி நிலைகளில் மாறுபடும், எனவே பூஞ்சைக் கொல்லிகளைப் பயன்படுத்துவதற்கான சிறந்த நிலை.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
